,min,25%,50%,75%,max
Bus_age_Total,-0.08205212439226581,-0.0021698198548084913,0.001155364635451503,0.004930107541413528,0.027689837914001036
Bus_age_10-20,-21.1141125377073,-1.0628100736447355,0.11844253572645158,1.3432714856138865,10.851099187916585
Bus_age_2-5,-24.112930462624092,-1.3949920046160837,0.17565515778833785,1.3028830331059993,22.346857837410845
Bus_age_5-10,-17.59583239994097,-2.0688938840960756,-0.37946262440197653,1.2323327517882765,19.333610683808413
Bus_age_GT_20,-22.913246371359623,-0.38510056742105725,0.0,0.5469809874240124,3.9366712965573107
Bus_age_LT_2,-21.801637983169158,-1.1927368351311305,0.1367540744815452,1.38010975003216,22.453953691898693
Bus_Diesel,-6.8134455864517065,-0.5774112196966428,-0.07976262536583079,0.045356820459005576,3.9735405480459036
Bus_Petroleum,-3.973540548045888,-0.09579055349171095,-0.014997351501499417,-0.0013620017680485985,0.965341873976546
Bus_LPG,-0.9420537742774396,-0.0061808517213672,0.0,0.0,0.2706631056669051
Bus_Natural_Gas,-1.7656090396884139,-0.011528692358568793,0.009331546901670373,0.24441399236482608,4.740406302778496
Bus_Electricity,-0.8236280516852803,0.0,0.0368731563421828,0.18104381852248133,5.319966346134675
Car_age_Total,-0.08205212439226581,-0.0021698198548084913,0.001155364635451503,0.004930107541413528,0.027689837914001036
Car_age_10-20,-21.1141125377073,-1.0628100736447355,0.11844253572645158,1.3432714856138865,10.851099187916585
Car_age_2-5,-24.112930462624092,-1.3949920046160837,0.17565515778833785,1.3028830331059993,22.346857837410845
Car_age_5-10,-17.59583239994097,-2.0688938840960756,-0.37946262440197653,1.2323327517882765,19.333610683808413
Car_age_GT_20,-22.913246371359623,-0.38510056742105725,0.0,0.5469809874240124,3.9366712965573107
Car_age_LT_2,-21.801637983169158,-1.1927368351311305,0.1367540744815452,1.38010975003216,22.453953691898693
Car_Diesel,-34.214020092746075,-0.18167749503114683,0.4726052977800399,1.058624748998568,33.85796144528396
Car_Petroleum,-37.918517332573,-1.1530710766788514,-0.5507276446532039,-0.026633660759818767,50.69654518804502
Car_motor_Total,-43324005.0,17516.5,64430.0,184497.5,34441240.0
Car_Renewable,-55.01924859686756,-0.055251084510556936,0.034117427605856676,0.12470034369120597,53.95406026191518
GDP per capita,-81440.0,105.0,450.0,800.0,84070.0
Population,-405275.0,-16358.75,7337.0,55898.75,1193357.0
Population_density,-5.0,-0.09999999999999876,0.09999999999999609,0.6999999999999913,53.09999999999991
Pop_age_0-14,-0.40000000000000213,-0.10000000000000142,-0.09999999999999787,0.0,0.40000000000000036
Pop_age_15-24,-0.6999999999999993,-0.29999999999999893,-0.1999999999999993,-0.09999999999999964,0.5
Pop_age_25-49,-1.1000000000000014,-0.30000000000000426,-0.10000000000000142,0.0,1.4000000000000057
Pop_age_50-64,-0.6000000000000014,-0.09999999999999787,0.09999999999999787,0.1999999999999993,0.6999999999999993
Pop_age_65-79,-0.20000000000000107,0.09999999999999964,0.20000000000000107,0.3000000000000007,0.5999999999999996
Pop_age_GT_80,-0.39999999999999947,0.0,0.09999999999999964,0.10000000000000053,0.30000000000000027
Modal_Share_Bus,-19.2,-0.7000000000000006,-0.09999999999999787,0.2999999999999998,31.9
Modal_Share_Car,-18.60000000000001,-0.5,0.0,0.75,14.800000000000011
Modal_Share_Train,-13.4,-0.2999999999999998,0.0,0.29999999999999893,9.4
pm10_concentration,-40.73535714285715,-2.263714176829269,-0.6506000000000007,0.8822495309679859,58.77567302631579
pm25_concentration,-15.224247619047619,-1.6955325301204844,-0.5254903846153844,0.6510930232558128,27.20490243902439
no2_concentration,-16.984599999999997,-1.8034392134489607,-0.5573809523809521,0.8113272055050591,23.164
Bus_motor_Total,-5920.0,-76.0,109.0,371.0,18119.0
