,pm25,pm10,no2
2020-01-01,59.63587951660156,8.553585052490234,28.26207733154297
2021-01-01,59.676151275634766,15.853659629821777,28.105724334716797
2022-01-01,59.62034225463867,19.80181121826172,28.2143611907959
2023-01-01,60.22119903564453,20.943359375,27.93497657775879
2024-01-01,61.11099624633789,23.446048736572266,27.40138053894043
2025-01-01,61.655574798583984,11.309388160705566,27.69558334350586
2026-01-01,61.78821563720703,1.2201564311981201,29.168750762939453
2027-01-01,63.05253982543945,6.120705604553223,29.636178970336914
2028-01-01,64.35852813720703,7.902188301086426,28.895919799804688
2029-01-01,65.61183166503906,8.414182662963867,28.66804313659668
2030-01-01,65.45423126220703,9.270533561706543,27.569988250732422
2031-01-01,63.93471908569336,0.1354156732559204,26.759937286376953
2032-01-01,64.25567626953125,10.284041404724121,27.528886795043945
2033-01-01,64.52847290039062,10.392861366271973,28.252716064453125
2034-01-01,65.42333984375,10.735982894897461,28.52457618713379
2035-01-01,65.7550277709961,10.709636688232422,29.231639862060547
2036-01-01,65.19185638427734,9.9974946975708,30.52582550048828
2037-01-01,65.31683349609375,9.654821395874023,31.36980628967285
2038-01-01,65.44181060791016,9.59162425994873,31.36980628967285
2039-01-01,64.57678985595703,9.528427124023438,31.36980628967285
2040-01-01,63.7117805480957,9.528427124023438,31.36980628967285
2041-01-01,55.0123291015625,11.455183029174805,36.51254653930664
2042-01-01,46.385501861572266,13.244017601013184,44.78422164916992
2043-01-01,46.458126068115234,13.139019966125488,48.75779724121094
2044-01-01,46.6614875793457,13.171941757202148,49.60243225097656
2045-01-01,46.864845275878906,13.171941757202148,49.60243225097656
2046-01-01,48.706886291503906,11.937691688537598,50.402225494384766
2047-01-01,50.79573059082031,10.56197738647461,50.40108108520508
2048-01-01,50.89207458496094,10.470976829528809,49.59912109375
2049-01-01,50.88355255126953,11.783188819885254,49.480316162109375
2050-01-01,50.88355255126953,11.783188819885254,49.480316162109375
