,Bus_age_Total,Bus_age_10-20,Bus_age_2-5,Bus_age_5-10,Bus_age_GT_20,Bus_age_LT_2,Bus_Diesel,Bus_Petroleum,Bus_LPG,Bus_Natural_Gas,Bus_Electricity,Car_age_Total,Car_age_10-20,Car_age_2-5,Car_age_5-10,Car_age_GT_20,Car_age_LT_2,Car_Diesel,Car_Petroleum,Car_motor_Total,Car_Renewable,GDP per capita,Population,Population_density,Pop_age_0-14,Pop_age_15-24,Pop_age_25-49,Pop_age_50-64,Pop_age_65-79,Pop_age_GT_80,Modal_Share_Bus,Modal_Share_Car,Modal_Share_Train,pm10_concentration,pm25_concentration,no2_concentration,Bus_motor_Total,lag
count,1918.0,1809.0,2255.0,2255.0,1230.0,2293.0,988.0,988.0,988.0,988.0,988.0,1918.0,1809.0,2255.0,2255.0,1230.0,2293.0,2294.0,2294.0,3040.0,2294.0,3165.0,2020.0,2466.0,2548.0,2548.0,2548.0,2548.0,2548.0,2548.0,3245.0,3245.0,2729.0,3170.0,2760.0,3154.0,988.0,3245.0
mean,0.00982562591593841,-0.8720501449641129,0.10402687776638432,0.24041388405758496,-1.0026051693169333,-0.3609914442460453,-0.03221785836570234,0.048046183991273264,-0.1122069706771487,0.08881122778539521,0.007567417266182655,0.00982562591593841,-0.8720501449641129,0.10402687776638432,0.24041388405758496,-1.0026051693169333,-0.3609914442460453,-0.9007779360395897,-0.05298246414920635,815481.8506578947,0.9537604001887958,913.7251184834123,2491110.2574257427,1.139943227899431,0.1770800627943485,0.0653846153846154,0.04007064364207228,-0.15588697017268446,-0.09791993720565148,-0.02841444270015699,0.006379044684129426,-0.20286594761171028,0.27742762916819347,-0.009637202516968193,-0.306408763086631,0.20950860472475633,29198.92105263158,22.864406779661017
std,0.19531606790594738,21.819720647416766,9.858293573390243,10.439394173184585,13.279038160494794,9.568198669873116,7.389483418179792,2.3106973008822758,0.624695544229514,5.528693150220364,2.369359433413187,0.19531606790594738,21.819720647416766,9.858293573390243,10.439394173184585,13.279038160494794,9.568198669873116,16.82809915124713,17.659844633633277,16282455.271986313,24.405187072982518,29667.1871248847,30030728.622383747,331.589730139693,2.692142843202893,1.9013155327393954,2.7308873818122565,1.970702343061962,2.5155690299476103,1.5660090335085655,7.518517582888065,7.552144732296148,5.179867748383796,14.29230550478854,8.340725503266356,7.898683387584891,134511.3684557696,14.34954618244508
min,-0.7524814113815441,-75.27327835087827,-34.7823285977673,-34.1282083098005,-47.463777781849345,-30.83542955959705,-27.251586085857426,-8.227382998927501,-3.9569847567341823,-24.001627215835747,-13.221592800977627,-0.7524814113815441,-75.27327835087827,-34.7823285977673,-34.1282083098005,-47.463777781849345,-30.83542955959705,-60.74278866063549,-54.91202590828312,-47978969.0,-55.059599938547045,-99390.0,-82837611.0,-1593.5,-8.7,-5.9,-8.200000000000003,-7.6,-8.5,-4.8,-33.8,-30.700000000000003,-19.1,-62.66872380952381,-38.715105263157895,-34.047999999999995,-98395.0,1.0
25%,-0.07675587272805788,-13.451689303385777,-5.409781409203188,-6.217871045933265,-10.437651445228855,-5.756612861239015,-3.188483226988108,-0.36780737905130806,-0.044535081462767676,-1.6000321551821672,-0.5391547503726242,-0.07675587272805788,-13.451689303385777,-5.409781409203188,-6.217871045933265,-10.437651445228855,-5.756612861239015,-10.013824442920175,-8.816079767182195,-2407432.75,-1.9544305815888041,-14770.0,-4889234.25,-43.400000000000006,-1.0999999999999996,-1.0999999999999996,-1.7250000000000014,-1.3999999999999986,-1.4000000000000004,-1.0,-4.6,-4.5,-2.8999999999999986,-7.289641734214228,-5.010942244330337,-4.610320707070702,-5767.0,11.0
50%,0.0017111658180934408,-0.8706527435723928,0.4060209006079525,-0.12870580108174323,0.12810266336977416,0.08303076300112533,-0.03749442461209895,-0.006138968022773708,0.0,0.003744850262876326,0.018568001484498803,0.0017111658180934408,-0.8706527435723928,0.4060209006079525,-0.12870580108174323,0.12810266336977416,0.08303076300112533,0.12634998256416363,-0.26252729524208185,64753.0,0.062166574472112046,1120.0,13284.5,0.29999999999999716,0.09999999999999964,-0.09999999999999964,-0.10000000000000142,0.0,0.1999999999999993,0.09999999999999964,-0.40000000000000036,0.0,0.0,-0.8913340116250197,-0.6171060606060594,-0.517970304075444,544.5,21.0
75%,0.08398648692894481,9.403396496937319,6.286950845676353,6.906801268529627,6.082144135607524,5.406848764324956,3.2086793666919853,0.6039594755766341,0.0312912574951594,1.8313102398801124,0.47168192066205916,0.08398648692894481,9.403396496937319,6.286950845676353,6.906801268529627,6.082144135607524,5.406848764324956,6.76187228719625,9.494611023973018,3219973.5,2.8765353759764025,15270.0,6524490.5,65.57499999999999,1.5,1.299999999999999,2.0,1.0,1.4000000000000004,1.0,4.0,4.200000000000003,3.3000000000000007,7.065350113122171,4.360165808823529,5.077086446220929,11268.0,36.0
max,0.8184727483456005,81.93990427128081,30.63292304921743,30.911299240116033,40.201844411067555,26.295707643820723,27.6524253628247,8.008466604687056,1.2396694214876034,24.140448083929975,13.248618784530386,0.8184727483456005,81.93990427128081,30.63292304921743,30.911299240116033,40.201844411067555,26.295707643820723,54.23903737754668,61.84414120279715,47988198.0,58.18625672029499,94080.0,81850767.0,1580.2,9.9,6.9,9.000000000000004,6.300000000000001,6.8999999999999995,4.699999999999999,32.599999999999994,27.400000000000006,18.8,58.81351503759399,36.89833333333333,30.639499999999995,700928.0,46.0
