Feature,Importance_NO2,Importance_PM10,Importance_PM25
Population_density,349.9847412109375,241.53097534179688,151.30958557128906
Population,217.16070556640625,117.21219635009766,64.52593231201172
Pop_age_0-14,170.61790466308594,288.1796569824219,158.13589477539062
Bus_motor_Total,160.01834106445312,150.40969848632812,94.46092987060548
GDP per capita,146.0565185546875,1389.0855712890625,501.36041259765625
Car_motor_Total,135.1134490966797,202.80111694335935,126.22240447998048
Pop_age_65-79,123.93241119384766,359.5239562988281,115.34678649902344
Modal_Share_Car,119.44264221191406,148.93185424804688,263.7625427246094
Bus_age_GT_20,112.40182495117188,79.80480194091797,77.08876037597656
Pop_age_GT_80,109.76441192626952,402.9384460449219,204.6321258544922
Pop_age_50-64,106.69607543945312,124.69933319091795,116.64761352539062
Car_age_GT_20,98.0216827392578,83.23529052734375,114.95240020751952
Modal_Share_Train,96.40841674804688,235.25265502929688,91.85359191894533
Car_Petroleum,93.90982818603516,223.84716796875,87.84378814697266
Pop_age_15-24,91.59139251708984,183.5027618408203,72.10631561279297
Car_age_2-5,91.35489654541016,174.79568481445312,58.96388244628906
Car_Renewable,87.6722640991211,181.16485595703125,112.4745101928711
Bus_age_5-10,81.86666107177734,90.33903503417967,53.39879608154297
Bus_age_2-5,81.5483169555664,146.5423583984375,54.6733283996582
Bus_age_Total,80.3942642211914,141.1572265625,72.44884490966797
Bus_Diesel,78.15464782714844,85.65044403076172,47.24137496948242
Modal_Share_Bus,75.79993438720703,843.8597412109375,306.3752136230469
Car_Diesel,74.45425415039062,145.48399353027344,86.95462799072266
Car_age_5-10,72.91474151611328,84.23560333251953,56.10113525390625
Car_age_Total,70.57222747802734,118.91175842285156,94.12491607666016
Bus_age_10-20,67.37472534179688,189.7734222412109,201.3582305908203
Bus_Electricity,67.35184478759766,189.3834381103516,34.41094207763672
Bus_Natural_Gas,66.38762664794922,59.20036697387695,48.06852340698242
Car_age_LT_2,65.51195526123047,262.8760986328125,113.41815185546876
Pop_age_25-49,63.19711685180664,86.22208404541016,66.02592468261719
Car_age_10-20,61.1642951965332,189.54808044433597,196.3132781982422
Bus_age_LT_2,60.896366119384766,217.47254943847656,99.73358917236328
Bus_Petroleum,43.50874710083008,81.62462615966797,46.621700286865234
Bus_LPG,41.9223861694336,56.89274978637695,74.49073791503906
