Feature,Importance_PM25
GDP per capita,501.36041259765625
Modal_Share_Bus,306.3752136230469
Modal_Share_Car,263.7625427246094
Pop_age_GT_80,204.6321258544922
Bus_age_10-20,201.3582305908203
Car_age_10-20,196.3132781982422
Pop_age_0-14,158.13589477539062
Population_density,151.30958557128906
Car_motor_Total,126.22240447998047
Pop_age_50-64,116.64761352539062
Pop_age_65-79,115.34678649902344
Car_age_GT_20,114.95240020751953
Car_age_LT_2,113.41815185546875
Car_Renewable,112.4745101928711
Bus_age_LT_2,99.73358917236328
Bus_motor_Total,94.46092987060547
Car_age_Total,94.12491607666016
Modal_Share_Train,91.85359191894531
Car_Petroleum,87.84378814697266
Car_Diesel,86.95462799072266
Bus_age_GT_20,77.08876037597656
Bus_LPG,74.49073791503906
Bus_age_Total,72.44884490966797
Pop_age_15-24,72.10631561279297
Pop_age_25-49,66.02592468261719
Population,64.52593231201172
Car_age_2-5,58.96388244628906
Car_age_5-10,56.10113525390625
Bus_age_2-5,54.6733283996582
Bus_age_5-10,53.39879608154297
Bus_Natural_Gas,48.06852340698242
Bus_Diesel,47.24137496948242
Bus_Petroleum,46.621700286865234
Bus_Electricity,34.41094207763672
