STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,mot_nrg,Motor energy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2013,,694,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2014,,664,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2015,,610,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2016,,570,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2017,,505,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2018,,410,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2019,,343,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2020,,354,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2021,,318,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2022,,313,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2023,,347,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,AT,Austria,2024,,432,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,BA,Bosnia and Herzegovina,2013,,4,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,BA,Bosnia and Herzegovina,2014,,7,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,BA,Bosnia and Herzegovina,2015,,31,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,BA,Bosnia and Herzegovina,2016,,51,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,BA,Bosnia and Herzegovina,2017,,104,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ALT,Alternative energy,BA,Bosnia and Herzegovina,2018,,103,,,,,
