Country,Year,Bus_age_Total,Bus_age_10-20,Bus_age_2-5,Bus_age_5-10,Bus_age_GT_20,Bus_age_LT_2,Bus_Diesel,Bus_Petroleum,Bus_LPG,Bus_Natural_Gas,Bus_Electricity,Car_age_Total,Car_age_10-20,Car_age_2-5,Car_age_5-10,Car_age_GT_20,Car_age_LT_2,Car_Diesel,Car_Petroleum,Car_motor_Total,Car_Renewable,GDP per capita,Population,Population_density,Pop_age_0-14,Pop_age_15-24,Pop_age_25-49,Pop_age_50-64,Pop_age_65-79,Pop_age_GT_80,Modal_Share_Bus,Modal_Share_Car,Modal_Share_Train,pm10_concentration,pm25_concentration,no2_concentration,Bus_motor_Total
Austria,2010.0,,,21.745439469320065,31.467661691542286,,24.087893864013267,,,,,,,,21.745439469320065,31.467661691542286,,24.087893864013267,27.53884260301734,22.382346318396756,4441000.0,50.07881107858591,42280.0,,,,,,,,,10.4,77.9,11.7,23.169135922330096,18.357363636363637,22.45809090909091,
Austria,2010.0,,,21.745439469320065,31.467661691542286,,24.087893864013267,,,,,,,,21.745439469320065,31.467661691542286,,24.087893864013267,27.53884260301734,22.382346318396756,4441000.0,50.07881107858591,1.6,,,,,,,,,10.4,77.9,11.7,23.169135922330096,18.357363636363637,22.45809090909091,
Austria,2013.0,,19.626265789748405,23.4366844138219,32.99926923478442,3.3093224762501303,20.628458085395135,92.74378784714972,0.02088118605136772,3.9569847567341823,1.8271037794946754,1.4512424305700564,,19.626265789748405,23.4366844138219,32.99926923478442,3.3093224762501303,20.628458085395135,28.241909392783242,21.69375529484361,4641308.0,50.06433531237315,43080.0,,102.9,14.4,12.1,35.8,19.7,13.1,5.0,9.9,77.8,12.3,20.139983739837398,15.660818181818183,20.383614864864864,9578.0
Austria,2013.0,,19.626265789748405,23.4366844138219,32.99926923478442,3.3093224762501303,20.628458085395135,92.74378784714972,0.02088118605136772,3.9569847567341823,1.8271037794946754,1.4512424305700564,,19.626265789748405,23.4366844138219,32.99926923478442,3.3093224762501303,20.628458085395135,28.241909392783242,21.69375529484361,4641308.0,50.06433531237315,-0.8,,102.9,14.4,12.1,35.8,19.7,13.1,5.0,9.9,77.8,12.3,20.139983739837398,15.660818181818183,20.383614864864864,9578.0
Austria,2014.0,0.11266150794107892,19.812206572769952,19.530516431924884,33.42723004694836,3.317683881064163,23.912363067292645,93.04121022430881,0.03129890453834116,3.735002608242045,1.8257694314032342,1.366718831507564,0.11266150794107892,19.812206572769952,19.530516431924884,33.42723004694836,3.317683881064163,23.912363067292645,28.364252561438203,21.483002589393944,4694921.0,50.15274484916785,43070.0,8507786.0,103.7,14.3,11.9,35.5,20.0,13.3,5.0,9.9,77.9,12.2,18.24094736842105,12.987580645161291,19.49972727272727,9585.0
Austria,2014.0,0.11266150794107892,19.812206572769952,19.530516431924884,33.42723004694836,3.317683881064163,23.912363067292645,93.04121022430881,0.03129890453834116,3.735002608242045,1.8257694314032342,1.366718831507564,0.11266150794107892,19.812206572769952,19.530516431924884,33.42723004694836,3.317683881064163,23.912363067292645,28.364252561438203,21.483002589393944,4694921.0,50.15274484916785,0.0,8507786.0,103.7,14.3,11.9,35.5,20.0,13.3,5.0,9.9,77.9,12.2,18.24094736842105,12.987580645161291,19.49972727272727,9585.0
Austria,2015.0,0.11274412848753734,20.75627647484244,19.857423287529706,30.43702861865895,3.120157041016634,25.829114577952268,93.66670110548611,0.03099493749354272,2.9548507077177395,1.9216861245996488,1.425767124702965,0.11274412848753734,20.75627647484244,19.857423287529706,30.43702861865895,3.120157041016634,25.829114577952268,28.474849032697225,21.418528203590192,4748048.0,50.10662276371258,43200.0,8584926.0,104.9,14.3,11.8,35.2,20.3,13.4,5.0,9.9,78.1,12.1,19.097494736842105,13.590970588235294,20.660935779816512,9679.0
Austria,2015.0,0.11274412848753734,20.75627647484244,19.857423287529706,30.43702861865895,3.120157041016634,25.829114577952268,93.66670110548611,0.03099493749354272,2.9548507077177395,1.9216861245996488,1.425767124702965,0.11274412848753734,20.75627647484244,19.857423287529706,30.43702861865895,3.120157041016634,25.829114577952268,28.474849032697225,21.418528203590192,4748048.0,50.10662276371258,0.3,8584926.0,104.9,14.3,11.8,35.2,20.3,13.4,5.0,9.9,78.1,12.1,19.097494736842105,13.590970588235294,20.660935779816512,9679.0
Austria,2016.0,0.11292492096117557,18.829516539440203,18.585241730279897,30.849872773536894,3.0839694656488548,28.65139949109415,94.15776081424937,0.04071246819338422,2.391857506361323,1.8931297709923665,1.5165394402035624,0.11292492096117557,18.829516539440203,18.585241730279897,30.849872773536894,3.0839694656488548,28.65139949109415,28.52173063597506,21.32832817282882,4821557.0,50.14994119119612,43550.0,8700471.0,106.0,14.3,11.7,34.9,20.6,13.5,4.9,9.9,78.0,12.1,17.014329896907217,13.122823529411765,19.133990909090908,9825.0
Austria,2016.0,0.11292492096117557,18.829516539440203,18.585241730279897,30.849872773536894,3.0839694656488548,28.65139949109415,94.15776081424937,0.04071246819338422,2.391857506361323,1.8931297709923665,1.5165394402035624,0.11292492096117557,18.829516539440203,18.585241730279897,30.849872773536894,3.0839694656488548,28.65139949109415,28.52173063597506,21.32832817282882,4821557.0,50.14994119119612,0.8,8700471.0,106.0,14.3,11.7,34.9,20.6,13.5,4.9,9.9,78.0,12.1,17.014329896907217,13.122823529411765,19.133990909090908,9825.0
