,0,1,2,3,4
0,-5.5897310311839785,1.3321172636487204,0.33962217640219283,-0.003278185308503142,0.0006849459777179876
1,-5.218339762042373,1.0569234410224644,0.2242048454171971,-0.001406550249490607,0.0003349338534514891
2,-4.852574688574674,0.8015047730610559,0.10919485419495512,-0.0006241099113457599,9.35438670494426e-05
3,-4.491992960539427,0.5649662895765154,-0.005520423988644253,-0.0007619891369802183,-3.57358132652778e-05
4,-4.136170858077767,0.34645976948778356,-0.12004979136633911,-0.0016556615886698777,-5.0266482251701066e-05
5,-3.784702765671463,0.14518145308368288,-0.23449845990684087,-0.0031446093139181975,5.1742560248308636e-05
6,-3.3271879222976897,-0.01267362572183164,-0.12138836244369249,0.0010938151551710192,-0.0006955038510585888
7,-2.964943206243324,-0.17724696779745572,-0.1980480309478297,-9.090516567640558e-05,-0.0005195610202060375
8,-2.6059347469240577,-0.3267577928379362,-0.2749232818212204,-0.0014101893941374536,-0.00022680489285767196
9,-2.2498200388160075,-0.46185266250719975,-0.3521071048619627,-0.002716405533404524,0.0001811445595623031
10,-1.8962702445029902,-0.5831434906773023,-0.4296899228254718,-0.003864413936724785,0.0007018019482575648
11,-1.2088208173256634,-0.6088421211218763,0.1876232959783816,0.014128681310750072,-0.0016221123504584578
12,-0.8289062598254854,-0.6967423839743606,0.17219724493431648,0.015436608617949014,-0.0011555380279749117
13,-0.4506446466922928,-0.7724827787389842,0.15611458432854922,0.01732587225514756,-0.0005889948331842018
14,-0.07375452031695513,-0.8365525369284798,0.1392934472974256,0.019934262311319034,7.14720523381694e-05
15,0.3020353881192536,-0.8894138009659812,0.12165371283913291,0.023398344507917234,0.0008188952677545809
16,0.6631318576034723,-0.8996561383714146,0.10615133536704173,0.023778757763868983,0.0013644456253542804
17,0.9668833183925045,-0.7690719558609667,0.10210606129393685,0.008591529477253182,0.0008293304603857075
18,1.2738238165831208,-0.6366313672223064,0.09623759653658434,-0.004296952602227043,0.00042615828792260036
19,1.5840130775790147,-0.502294608321293,0.08851007731938013,-0.01480470155287653,0.00014051882167503884
20,1.8975122104148388,-0.36602092377410395,0.07888678333029409,-0.022847267872048518,-4.283645969230814e-05
21,2.2143837435397944,-0.22776854026085672,0.06733011516370326,-0.0283376671251945,-0.00014002687625034227
22,2.534691661582788,-0.08749463908990819,0.053801571137633675,-0.031186305465188444,-0.00016807621993385847
23,2.8585014431269835,0.05484467200871427,0.038261723467485693,-0.031300902959011404,-0.0001449475728039661
24,3.1858800995223793,0.19929438788294532,0.020670193777853774,-0.028586414656825928,-8.957930722269192e-05
25,3.5168962147659513,0.3459006357742296,0.0009856279335022564,-0.022944949336725372,-2.1922305920976764e-05
26,3.8516199864796614,0.4947107059724913,-0.020834329829975226,-0.014275685856316554,3.702155893394467e-05
27,4.190123268017532,0.6457730833347122,-0.044833063495851505,-0.002474787040301504,6.515964734143617e-05
28,4.532479611734002,0.7991374796920522,-0.07105501259698226,0.01256468896883547,3.926743206147281e-05
29,4.878764313446501,0.9548548671711166,-0.09954570030873669,0.03095287997218879,-6.505400463704265e-05
30,5.229054458126355,1.1129775124557728,-0.13035176232601836,0.052803213665166264,-0.0002734219023340848
