STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,mot_nrg,Motor energy,engine,Engine capacity of vehicle,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AL,Albania,2021,,233368,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AL,Albania,2022,,252775,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AL,Albania,2023,,277611,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AL,Albania,2024,,308635,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,1999,,1088000,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2000,,1211000,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2001,,1325000,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2002,,1413000,,b,break in time series,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2003,,1528000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2004,,1642000,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2005,,1731000,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2006,,1737000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2007,,1780000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2008,,1808000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2009,,1847000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2010,,1895000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2011,,1946000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2012,,1999000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2013,,2040083,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2014,,2075423,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2015,,2114381,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2016,,2161479,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2017,,2189040,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2018,,2205012,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2019,,2218877,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2020,,2232277,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2021,,2220991,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2022,,2189120,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2023,,2157405,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,AT,Austria,2024,,2121538,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2013,,411265,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2014,,443778,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2015,,475081,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2016,,502914,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2017,,520360,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2018,,548988,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2019,,573425,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2020,,580679,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2021,,619808,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2022,,641894,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2023,,674227,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BA,Bosnia and Herzegovina,2024,,716246,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2005,,1865000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2006,,1962000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2007,,2058000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2008,,2167000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2009,,2251000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2010,,2356000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2011,,2685000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2012,,2521000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2013,,2568476,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2014,,2598962,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2015,,2614895,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2016,,2585063,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2017,,2531891,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2018,,2417197,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2019,,2285481,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2020,,2180034,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2021,,2054569,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2022,,1915037,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,BE,Belgium,2023,,1735682,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,1998,,59000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,1999,,65000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2000,,75000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2001,,95000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2002,,120000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2003,,149000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2004,,184000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2005,,225000,,e,estimated,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2006,,268000,,e,estimated,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2007,,315000,,e,estimated,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2008,,363000,,e,estimated,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2009,,409000,,e,estimated,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2010,,459000,,e,estimated,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2011,,521000,,e,estimated,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2012,,594000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2013,,671518,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2014,,732999,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2015,,797901,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2016,,858486,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2017,,905411,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2018,,935758,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2019,,956015,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2020,,970437,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2021,,978426,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2022,,970533,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2023,,959398,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CH,Switzerland,2024,,942830,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2005,,9000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2006,,9000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2007,,11000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2008,,13000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2009,,15000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2010,,17000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2011,,19000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2012,,20000,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2013,,20700,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2014,,23470,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2015,,27342,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2016,,33169,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2017,,41527,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2018,,51410,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2019,,60689,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2020,,66767,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2021,,70762,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2022,,70973,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2023,,72643,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CY,Cyprus,2024,,73874,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CZ,Czechia,2000,,313500,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CZ,Czechia,2001,,356200,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CZ,Czechia,2002,,414100,,,,,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CZ,Czechia,2003,,479703,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CZ,Czechia,2004,,541000,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CZ,Czechia,2005,,603000,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CZ,Czechia,2006,,676000,,d,definition differs (see metadata),,
dataflow,ESTAT:ROAD_EQS_CARMOT(1.0),"Passenger cars, by type of motor energy and size of engine",A,Annual,NR,Number,DIE,Diesel,CC1400-1999,From 1 400 to 1 999 cm³,CZ,Czechia,2007,,752000,,d,definition differs (see metadata),,
